,salary_min,salary_max,currency,vacancy,link,source
47,60000.0,100000.0,руб.,Кассир-администратор,https://hh.ru/vacancy/52844963?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
48,45000.0,70000.0,руб.,Бариста-кассир,https://hh.ru/vacancy/52331024?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
49,50000.0,120000.0,руб.,Кассир-операционист,https://hh.ru/vacancy/52899747?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
50,45000.0,60000.0,руб.,Ночной продавец-кассир,https://hh.ru/vacancy/52206148?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
51,,,,Кассир банка,https://hh.ru/vacancy/52878312?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
52,60000.0,65000.0,руб.,Бухгалтер-кассир,https://hh.ru/vacancy/52493797?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
53,60000.0,,руб.,Бухгалтер-кассир,https://hh.ru/vacancy/52915330?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
54,90000.0,,руб.,Кассир-оператор в VIP клуб,https://hh.ru/vacancy/52951072?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
55,86300.0,,руб.,Инструктор по кассовым операциям,https://hh.ru/vacancy/50572187?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
56,57000.0,,руб.,Кассир,https://hh.ru/vacancy/51041986?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
57,40000.0,100000.0,руб.,Бармен-кассир,https://hh.ru/vacancy/52809371?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
58,50000.0,50000.0,руб.,Кассир,https://hh.ru/vacancy/52629125?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
59,,,,Кассир в ресторан,https://hh.ru/vacancy/52677660?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
60,40000.0,60000.0,руб.,Продавец-кассир,https://hh.ru/vacancy/51708171?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
61,60000.0,70000.0,руб.,Продавец-кассир,https://hh.ru/vacancy/52486177?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
62,2361.0,3038.0,руб.,Продавец-кассир,https://hh.ru/vacancy/52191141?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
63,41000.0,,руб.,Кассир,https://hh.ru/vacancy/52841887?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
64,60000.0,,руб.,Бухгалтер-кассир,https://hh.ru/vacancy/52914066?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
65,50000.0,100000.0,руб.,Менеджер корнера - кассир,https://hh.ru/vacancy/52004541?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
66,45000.0,50000.0,руб.,Оператор-кассир,https://hh.ru/vacancy/52208216?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
67,45000.0,50000.0,руб.,Кассир,https://hh.ru/vacancy/51959499?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
68,45000.0,60000.0,руб.,Администратор-кассир,https://hh.ru/vacancy/52815863?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
